"ETF Name","Underlying Asset","LTP/Close","Change","Day's High / Low","52Week High / Low","Prev. Close / Open","Wtd. Avg Price","Total Volume","Turnover (Lacs)","Circuit Limits"
"LIQUIDBEES","LIQUID",999.99,0,"1000.01/999.99","1005.00/996.00","999.99/999.99",999.99,130449,1304,"1050.00/950.00"
"NIFTYBEES","EQUITY",273.93,0.27,"274.28/272.65","292.58/208.37","273.66/273.66",273.41,269115,735,"331.58/221.05"
"GOLDBEES","GOLD",66.18,0.44,"66.18/65.00","66.18/50.82","65.74/65.74",66.08,648472,428,"78.66/52.44"
"JUNIORBEES","EQUITY",760.7,1.14,"762.25/749.10","829.50/451.00","759.56/758.05",756.08,26382,199,"936.44/624.29"
"BANKBEES","EQUITY",526.4,-0.35,"528.50/524.37","590.00/430.00","526.75/526.75",526.39,31751,167,"640.04/426.69"
"HNGSNGBEES","EQUITY",330.91,6.01,"332.66/322.18","420.00/225.91","324.90/323.50",328.76,27299,89.75,"379.39/252.92"
"CPSE ETF","EQUITY",92,-0.88,"95.08/90.57","106.38/51.31","92.88/92.88",91.89,75524,69.4,"114.88/76.59"
"SETFGOLD","GOLD",68.09,0.43,"68.50/67.75","68.50/52.31","67.66/67.75",68.07,94578,64.37,"80.98/53.99"
"ICICIB22","EQUITY",112.43,-0.42,"112.85/110.89","122.46/70.47","112.85/112.85",111.47,36194,40.34,"138.39/92.26"
"GOLDIETF","GOLD",68.24,0.47,"68.25/67.77","69.64/52.31","67.77/67.77",68.1,46724,31.82,"81.03/54.02"
"GOLD1","GOLD",66.4,0.29,"66.90/66.00","66.90/51.06","66.11/66.00",66.53,46426,30.89,"79.11/52.74"
"PSUBANK","EQUITY",631.82,-6.45,"638.00/609.30","904.02/462.10","638.27/635.00",618.54,4505,27.86,"790.41/526.94"
"PSUBNKBEES","EQUITY",70.44,-0.08,"71.00/69.10","90.14/48.10","70.52/71.00",70.06,31170,21.83,"88.17/58.78"
"SBISENSEX","EQUITY",879.43,-0.92,"888.10/868.30","950.00/682.14","880.35/883.50",880.54,2038,17.94,"1063.62/709.08"
"NIFTYIETF","EQUITY",272.68,0.73,"272.76/270.74","291.69/207.20","271.95/271.95",271.92,6543,17.79,"329.83/219.88"
"LIQUIDETF","EQUITY",999.99,-0.01,"1000.00/999.99","1045.00/999.00","1000.00/999.99",999.99,1636,16.35,"1200.00/800.00"
"HDFCGOLD","GOLD",68.1,0.44,"68.19/67.93","68.44/52.41","67.66/68.14",68.11,21288,14.49,"80.98/53.99"
"MON100","EQUITY",164.81,-0.2,"165.99/164.45","170.04/115.62","165.01/165.05",165.2,5541,9.15,"200.55/133.70"
"MOM100","EQUITY",60.53,-0.07,"60.87/59.70","65.80/40.15","60.60/60.63",60.16,15117,9.09,"74.04/49.36"
"NIF100BEES","EQUITY",267.13,-0.27,"268.75/264.91","290.48/196.23","267.40/266.28",266.24,1878,5,"323.85/215.90"
"UTI GOLD ETF","GOLD",66.8,0.37,"66.90/66.30","66.90/50.96","66.43/66.30",66.73,6944,4.63,"79.48/52.99"
"UTINIFTETF","EQUITY",266.69,0.32,"268.60/265.36","286.40/202.75","266.37/268.60",265.97,1388,3.69,"322.66/215.11"
"AXISGOLD","GOLD",66.45,0.39,"66.79/66.19","66.79/50.91","66.06/66.19",66.41,4083,2.71,"79.08/52.72"
"SETFSN50","EQUITY",880.58,3.22,"886.88/863.79","1006.31/564.00","877.36/886.88",879.1,211,1.85,"1076.86/717.91"
"NIFTY1","EQUITY",267.21,0.14,"267.50/266.02","286.49/203.00","267.07/267.28",266.99,507,1.35,"322.92/215.28"
"SENSEX1","EQUITY",87.16,-0.1,"87.24/85.61","93.48/58.10","87.26/86.60",85.73,1530,1.31,"104.91/69.94"
"MOM50","EQUITY",254.39,2.34,"254.49/250.05","274.99/191.63","252.05/254.49",250.86,518,1.29,"304.77/203.18"
"NIF100IETF","EQUITY",27.96,-0.04,"28.15/27.79","33.00/20.48","28.00/27.82",27.96,3767,1.05,"34.05/22.70"
"BSLGOLDETF","GOLD",70.09,0.58,"70.40/69.42","70.40/46.16","69.51/70.00",69.86,1108,0.77,"83.19/55.46"
"SETFBSE100","EQUITY",280.39,-1.04,"283.17/276.10","315.91/175.51","281.43/280.66",280.51,268,0.75,"342.34/228.23"
"SENSEXIETF","EQUITY",907.24,2.72,"907.96/903.88","973.91/702.10","904.52/905.80",906.43,68,0.61,"1096.70/731.13"
"QUANTUM GOLD","GOLD",65.82,0.29,"65.87/65.11","65.87/50.64","65.53/65.11",65.81,742,0.48,"78.37/52.24"
"SHARIABEES","EQUITY",562.41,3.01,"562.41/559.00","610.95/421.37","559.40/559.63",559.97,57,0.31,"679.87/453.24"
"HDFCSENSEX","EQUITY",89.57,0.15,"89.92/89.14","97.24/69.60","89.42/89.69",89.44,287,0.25,"108.25/72.16"
"QNIFTY","EQUITY",2638.9,-8,"2640.22/2638.90","2840.00/2016.00","2646.90/2640.22",2639.12,6,0.15,"3207.37/2138.24"
"UTISENSETF","EQUITY",874.64,0.74,"874.64/871.05","950.00/675.05","873.90/871.05",871.94,5,0.04,"1057.02/704.68"
